,track_id,track_name,first_genre,position,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,1,42,0.6317184993059826,-0.3589955902904524,-0.0072581842678847725,0.11901959042579009,-0.5131788748777659,-0.5807995215341161,0.14038893969796648,-0.6430628724761849,0.8534808343466319,1.0959300597643387
1,04aAxqtGp5pv12UXAg4pkq,Centuries,4,27,0.5030043418646103,-0.850942951774361,-1.0306007438033074,1.021934531398978,-0.5131788748777659,-0.5101128657067276,0.7808072514213559,-0.015304427789194964,1.798696966236449,0.451594079764315
2,08B8Ki7qlUoT58Zd1trxkl,"Requiem In D Minor, K. 626: Sequence: VI. Lacrimosa Dies Illa",5,13,-0.591065996387054,1.7779877915268731,-2.7257438333549895,-1.8244861647516215,1.3467138643302394,3.0318206413430646,-1.920863248074214,-0.4973609124747601,1.9490645751122455,-1.5215328929527396
3,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,4,24,0.7604326567473548,-0.8305106332462752,-1.470691067334085,0.43242808233383867,-0.48530936411168324,-0.6560466067697234,0.42767235033369416,-0.4167598282186527,2.216087963304772,1.274236871839817
4,09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),3,8,0.5030043418646103,-0.7976975980932093,0.45404131148124405,1.3651914511077932,-0.27549382451003485,1.7396989756811236,0.4941521947021543,-0.3888594528992309,0.9187742574946338,0.46375136240582443
5,09CtPGIpYB4BrO8qb1RGsF,Sorry,3,48,0.7604326567473548,-0.6410773966903394,0.3586000364986657,0.6562912908395879,-0.5131788748777659,0.9872281233250515,0.6801449539938764,-0.4477602452402325,-0.7743237662582071,-0.16032247985834955
6,0Aqi7ArnBrGblW5T6p2jmD,Falling,2,28,0.05250479081980732,-0.5216820670997714,1.0478981335950643,-0.5712253024669363,-0.5131788748777659,-0.6112023842555736,0.04085767932023409,-0.5810620384330253,0.14330073782800037,-0.8613924455187528
7,0BCPKOYdS2jbQ8iyB56Zns,Clocks,1,25,0.7604326567473548,0.79083933902287,-0.05497882175917396,0.615249702613534,-0.4799665045347658,0.10554510440278567,0.2345163563935746,-0.7128138107747393,0.2746652893194486,-0.7843963221225235
8,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),3,14,0.6960755780266688,-0.6049554840428465,1.7531031098552263,0.09290221610011934,-0.5131788748777659,-0.2288863855332461,0.4324478400992925,0.08079686497770219,0.17451038545389708,-0.5858273723111954
9,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,4,13,0.9535038929094133,-0.84096117133284,-1.3593429131877437,1.3390740767821225,-0.5131729255314262,0.553987329544283,0.7405926007636862,-0.06335507417264365,-0.9547175583320491,-0.6182467926885552
10,0E8a0LvkV7jUWaGmxSUTGc,Lament,5,41,-1.2989938623146016,1.8689819226236113,-0.17693156201469018,-1.9826828320956844,2.112042398321111,-0.7244530478930026,-2.765119570318667,-0.4958108916236811,-1.4828470125778475,-0.723609908914974
11,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,3,15,0.1812189482611796,-0.3755399777625866,0.5653894656275849,0.6936018255905462,-0.5131471065235248,-0.38850141482089784,0.47077742900738384,1.164261439881914,0.10340107997474228,-1.1572196564621602
12,0F7FA14euOIX8KcbEturGH,Old Town Road,2,7,-0.011852287900878817,-0.7014644109636289,1.6947778862547618,-0.20185100843245013,-0.5131724345659516,-0.5177135813870919,0.3731312303792297,0.823256852644537,0.4446784076975695,0.2368154197643068
13,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,3,10,0.7604326567473548,-0.8438288651613431,-0.22465219950597937,0.33915174545644355,-0.5074894514363998,0.303163712092259,0.32763840682274087,-0.7128138107747393,0.07178567311644003,-1.16127208400933
14,0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),2,33,1.1465751290714716,-0.6705815543489786,0.9577591516670737,0.7122570929660252,-0.5131703263024429,-0.2364871012136105,0.5053368944163188,-0.42295991162296864,-0.09630008890775268,0.6136911816511131
15,0G9qcE5Gz6xTz8jWXlRgBx,I've Got You Under My Skin - 2024 Remastered,5,1,-4.3237765621868505,1.386437288019699,-0.060281114813761645,-1.2652012488347584,-0.5131788748777659,-0.36569926777980477,-0.5381076193669038,-0.5810620384330253,0.14289497859559436,0.8325222691982913
16,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),3,43,0.374290184423238,-0.7533034917096493,0.45404131148124405,0.6488291838893964,-0.5131788748777659,1.306458181900355,0.6847947729761696,1.303763316479023,0.4432582503841484,0.3786503839152556
17,0INUE1K7cEiE8VH63Rv5RJ,Happy?,4,47,-0.3979947602249957,-0.8585726717969266,-0.21934990645139169,1.4398125206097097,-0.5131188038079282,0.8048109469963072,0.806821103565536,0.35825059732084086,-0.7703338004728814,-0.26568559608476844
18,0IU7UJ9nknVKWlHCECHVQw,All The Way,5,49,-1.2346367835939156,0.5757623018851262,-2.1865006297034224,-0.9256753826010389,-0.5131745428294604,0.6147930549871979,0.10934825622157772,-0.6647631643912907,-1.3469514829911988,-0.9789128443866818
19,0JP9xo3adEtGSdUEISiszL,Moonlight,2,4,0.6317184993059826,0.6722712288059088,1.7690099890189894,-0.1757336341067794,-0.5015112247746598,-0.5101128657067276,0.4220171650849594,0.10094713604172896,0.17454419872326343,1.0635106393869789
