,track_id,track_name,first_genre,position,seeded_cluster,k_means_cluster,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
0,02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,1,42,3,1,0.6317184993059826,-0.3589955902904524,-0.0072581842678853,0.11901959042579,-0.5131788748777659,-0.5807995215341164,0.1403889396979664,-0.6430628724761849,0.8534808343466319,1.0959300597643389
1,04aAxqtGp5pv12UXAg4pkq,Centuries,4,27,3,1,0.5030043418646103,-0.850942951774361,-1.0306007438033078,1.021934531398978,-0.5131788748777659,-0.510112865706728,0.7808072514213559,-0.0153044277891949,1.7986969662364491,0.451594079764315
2,08B8Ki7qlUoT58Zd1trxkl,"Requiem In D Minor, K. 626: Sequence: VI. Lacrimosa Dies Illa",5,13,4,2,-0.526708917666368,1.7779877915268731,-2.7257438333549895,-1.8244861647516215,1.3467138643302394,3.0318206413430646,-1.9208632480742145,-0.4973609124747601,1.949064575112246,-1.5215328929527396
3,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,4,24,3,1,0.7604326567473548,-0.8305106332462752,-1.4706910673340854,0.4324280823338386,-0.4853093641116832,-0.6560466067697237,0.4276723503336942,-0.4167598282186527,2.216087963304772,1.274236871839817
4,09CnYHiZ5jGT1wr1TXJ9Zt,Thank You (Not So Bad),3,8,3,1,0.5030043418646103,-0.7976975980932093,0.4540413114812434,1.3651914511077932,-0.2754938245100348,1.7396989756811236,0.4941521947021544,-0.3888594528992309,0.918774257494634,0.4637513624058244
5,09CtPGIpYB4BrO8qb1RGsF,Sorry,3,48,3,1,0.7604326567473548,-0.6410773966903394,0.358600036498665,0.6562912908395879,-0.5131788748777659,0.9872281233250516,0.6801449539938765,-0.4477602452402325,-0.7743237662582071,-0.1603224798583495
6,0Aqi7ArnBrGblW5T6p2jmD,Falling,2,28,0,1,0.0525047908198073,-0.5216820670997714,1.0478981335950637,-0.5712253024669363,-0.5131788748777659,-0.6112023842555739,0.0408576793202341,-0.5810620384330253,0.1433007378280004,-0.8613924455187528
7,0BCPKOYdS2jbQ8iyB56Zns,Clocks,1,25,0,1,0.7604326567473548,0.79083933902287,-0.0549788217591745,0.615249702613534,-0.4799665045347658,0.1055451044027854,0.2345163563935746,-0.7128138107747393,0.2746652893194486,-0.7843963221225235
8,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),3,14,3,1,0.6960755780266688,-0.6049554840428465,1.7531031098552254,0.0929022161001193,-0.5131788748777659,-0.2288863855332464,0.4324478400992925,0.0807968649777021,0.1745103854538971,-0.5858273723111954
9,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,4,13,0,1,0.9535038929094132,-0.84096117133284,-1.359342913187744,1.3390740767821223,-0.5131729255314262,0.5539873295442829,0.7405926007636863,-0.0633550741726436,-0.9547175583320492,-0.6182467926885552
10,0E8a0LvkV7jUWaGmxSUTGc,Lament,5,41,4,2,-1.2989938623146016,1.8689819226236113,-0.1769315620146907,-1.9826828320956844,2.112042398321111,-0.7244530478930029,-2.765119570318667,-0.4958108916236811,-1.4828470125778477,-0.723609908914974
11,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,3,15,0,1,0.1812189482611796,-0.3755399777625866,0.5653894656275842,0.6936018255905462,-0.5131471065235248,-0.3885014148208981,0.4707774290073839,1.164261439881914,0.1034010799747423,-1.1572196564621602
12,0F7FA14euOIX8KcbEturGH,Old Town Road,2,7,3,1,-0.0118522879008788,-0.7014644109636289,1.694777886254761,-0.2018510084324501,-0.5131724345659516,-0.5177135813870922,0.3731312303792297,0.823256852644537,0.4446784076975695,0.2368154197643068
13,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,3,10,0,1,0.7604326567473548,-0.8438288651613431,-0.2246521995059799,0.3391517454564435,-0.5074894514363998,0.3031637120922589,0.3276384068227409,-0.7128138107747393,0.07178567311644,-1.16127208400933
14,0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),2,33,3,1,1.1465751290714716,-0.6705815543489786,0.957759151667073,0.7122570929660252,-0.5131703263024429,-0.2364871012136107,0.5053368944163188,-0.4229599116229686,-0.0963000889077527,0.6136911816511131
15,0G9qcE5Gz6xTz8jWXlRgBx,I've Got You Under My Skin - 2024 Remastered,5,1,2,0,-4.3237765621868505,1.386437288019699,-0.0602811148137622,-1.2652012488347584,-0.5131788748777659,-0.365699267779805,-0.5381076193669038,-0.5810620384330253,0.1428949785955943,0.8325222691982913
16,0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),3,43,1,1,0.374290184423238,-0.7533034917096493,0.4540413114812434,0.6488291838893964,-0.5131788748777659,1.3064581819003551,0.6847947729761696,1.303763316479023,0.4432582503841484,0.3786503839152556
17,0INUE1K7cEiE8VH63Rv5RJ,Happy?,4,47,3,1,-0.3979947602249957,-0.8585726717969266,-0.2193499064513922,1.4398125206097097,-0.5131188038079282,0.8048109469963071,0.806821103565536,0.3582505973208408,-0.7703338004728815,-0.2656855960847684
18,0IU7UJ9nknVKWlHCECHVQw,All The Way,5,49,0,2,-1.2346367835939156,0.5757623018851262,-2.1865006297034224,-0.9256753826010388,-0.5131745428294604,0.6147930549871978,0.1093482562215777,-0.6647631643912907,-1.346951482991199,-0.9789128443866818
19,0JP9xo3adEtGSdUEISiszL,Moonlight,2,4,3,1,0.6317184993059826,0.6722712288059088,1.7690099890189883,-0.1757336341067794,-0.5015112247746598,-0.510112865706728,0.4220171650849594,0.1009471360417289,0.1745441987232634,1.0635106393869789
