user,position,user_seed_genre,cont_drift,cat_drift,total_drift
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,2,3,0.9316305544795646,0.5,0.4832058402050504
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,3,0.22039795508060667,0.5,0.014534145152891309
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,4,3,0.272155652281985,1.0,0.07119614354510806
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,5,3,1.3162196998821913,1.0,0.371426981546953
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,6,3,1.45874001902689,0.5,0.8065423561114291
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,7,3,1.4277527643312256,1.0,0.09896574624041377
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,8,3,0.5833561390496667,1.0,0.053276312269540105
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,9,3,1.4360518602034729,1.0,1.0920201939170393
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,10,3,1.3056048027576757,0.5,0.10423639896338044
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,11,3,1.128230867512611,0.5,0.10454136449443019
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,12,3,0.8825114535008614,1.0,0.09992639730981723
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,13,3,0.6689596641429425,0.5,0.041191063048752086
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,14,3,1.150219019922007,1.0,0.18352733614195216
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,15,3,0.9596728592251058,1.0,0.08334801766419753
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,16,3,0.224608223695977,1.0,0.10528832133758681
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,18,3,1.0743525354703525,0.0,0.08980689488811278
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,19,3,1.0922514512508545,1.0,0.06792909701588623
