user,position,user_seed_genre,cont_drift,cat_drift,total_drift
2173664479e34723b4d8214fe1d8efc4_Selim Salim,2,4,2.100498627196302,1.0,3.100498627196302
2173664479e34723b4d8214fe1d8efc4_Selim Salim,3,4,1.4380465808781155,1.0,2.4380465808781153
2173664479e34723b4d8214fe1d8efc4_Selim Salim,4,4,2.2548772631165908,1.0,3.2548772631165908
2173664479e34723b4d8214fe1d8efc4_Selim Salim,5,4,2.2795239506024205,1.0,3.2795239506024205
2173664479e34723b4d8214fe1d8efc4_Selim Salim,6,4,2.402831083628078,1.0,3.402831083628078
2173664479e34723b4d8214fe1d8efc4_Selim Salim,7,4,1.2477746210283598,0.5,1.7477746210283598
2173664479e34723b4d8214fe1d8efc4_Selim Salim,8,4,5.775665697970785,1.0,6.775665697970785
2173664479e34723b4d8214fe1d8efc4_Selim Salim,9,4,1.2477746210283598,0.5,1.7477746210283598
2173664479e34723b4d8214fe1d8efc4_Selim Salim,10,4,3.879456067229226,1.0,4.879456067229226
2173664479e34723b4d8214fe1d8efc4_Selim Salim,11,4,2.836112435690878,1.0,3.836112435690878
2173664479e34723b4d8214fe1d8efc4_Selim Salim,12,4,2.0761124958018766,1.0,3.0761124958018766
2173664479e34723b4d8214fe1d8efc4_Selim Salim,13,4,4.4168075865324665,1.0,5.4168075865324665
2173664479e34723b4d8214fe1d8efc4_Selim Salim,14,4,3.0589465110257743,1.0,4.058946511025774
2173664479e34723b4d8214fe1d8efc4_Selim Salim,15,4,1.5611109999344062,0.5,2.061110999934406
2173664479e34723b4d8214fe1d8efc4_Selim Salim,16,4,2.2619376300604452,0.5,2.7619376300604452
2173664479e34723b4d8214fe1d8efc4_Selim Salim,17,4,2.2411642416445403,0.5,2.7411642416445403
2173664479e34723b4d8214fe1d8efc4_Selim Salim,18,4,2.4519581499981276,0.5,2.9519581499981276
2173664479e34723b4d8214fe1d8efc4_Selim Salim,19,4,2.759351094325447,1.0,3.759351094325447
2173664479e34723b4d8214fe1d8efc4_Selim Salim,20,4,3.151766995084812,0.5,3.651766995084812
