position,user_seed_genre,mean,std,count,seed_mean,drift_centered
2,1,3.3259620744549814,0.1912680800949165,17,0.09652,3.2294420744549814
2,2,3.6149872484192156,1.1664568988735518,16,0.16899000000000003,3.4459972484192156
2,3,3.3346167213193225,0.9399286492003595,18,0.07435,3.2602667213193226
2,4,2.976860290590354,0.20751070427456433,18,0.04870999999999999,2.928150290590354
2,5,5.925531076009244,0.954614688201585,17,-0.5431900000000001,6.468721076009244
3,1,3.2973807190921955,0.49370658722152677,17,0.09652,3.2008607190921956
3,2,4.753111552406052,1.3300185813707406,17,0.16899000000000003,4.584121552406052
3,3,3.412667818847196,1.188339583392947,17,0.07435,3.3383178188471962
3,4,2.5739865206240706,0.2945597058676911,18,0.04870999999999999,2.525276520624071
3,5,6.607459960105123,0.36427930503711947,18,-0.5431900000000001,7.150649960105123
4,1,3.2484728124293336,0.2843799913996772,17,0.09652,3.1519528124293337
4,2,4.515644732590809,1.486646563181655,18,0.16899000000000003,4.346654732590809
4,3,3.8210504995399948,0.8897615262461168,18,0.07435,3.746700499539995
4,4,3.4480172796873236,1.075080046875806,18,0.04870999999999999,3.399307279687324
4,5,6.676192925193628,0.3622678273121283,18,-0.5431900000000001,7.219382925193628
5,1,3.2710245353574314,0.3953320733766512,17,0.09652,3.1745045353574315
5,2,3.848919779994684,1.2093334119944597,17,0.16899000000000003,3.679929779994684
5,3,3.581568551694287,0.5425252257426011,18,0.07435,3.507218551694287
5,4,3.438090525863644,0.8803272086914171,18,0.04870999999999999,3.3893805258636442
5,5,6.662291234942239,0.3516521158042281,18,-0.5431900000000001,7.205481234942239
6,1,3.0372589268790997,0.4379022641081157,13,0.09652,2.9407389268790998
6,2,4.186687716263267,1.08213983033291,16,0.16899000000000003,4.017697716263267
6,3,3.7927969950485587,0.5102888383267861,18,0.07435,3.718446995048559
6,4,3.2216183949415766,0.9949078841207921,18,0.04870999999999999,3.172908394941577
6,5,6.3725242118857155,0.9386284399843818,18,-0.5431900000000001,6.915714211885716
7,1,3.5398021952232788,0.674997123681867,17,0.09652,3.443282195223279
7,2,3.9085708289129344,0.9737158749663105,17,0.16899000000000003,3.7395808289129344
7,3,3.851644041994575,0.45356228423513323,18,0.07435,3.7772940419945753
7,4,3.536806635929152,0.9586003449265125,18,0.04870999999999999,3.488096635929152
7,5,6.232842357628221,1.1559998547724517,18,-0.5431900000000001,6.776032357628221
8,1,3.1327782704330183,0.3247410710371424,17,0.09652,3.0362582704330183
8,2,3.757071518757731,1.1962060683724989,13,0.16899000000000003,3.588081518757731
8,3,3.3963656166552934,0.9926138834000509,18,0.07435,3.3220156166552934
8,4,2.6396372208137597,1.2421797947512314,18,0.04870999999999999,2.59092722081376
8,5,5.7494183806089785,1.090072695177178,17,-0.5431900000000001,6.2926083806089785
9,1,3.1682058468107157,0.36383661648163557,16,0.09652,3.0716858468107158
9,2,3.7098055529952028,1.2868176528487068,17,0.16899000000000003,3.540815552995203
9,3,3.8744533656907825,0.7714487512607965,18,0.07435,3.8001033656907826
9,4,2.619043737235199,0.5628219477636092,18,0.04870999999999999,2.5703337372351993
9,5,6.41265458037772,0.7555145083476368,17,-0.5431900000000001,6.95584458037772
10,1,3.479532995528742,0.4109470201328459,16,0.09652,3.383012995528742
10,2,4.321593939229784,1.1883460996522772,18,0.16899000000000003,4.152603939229784
10,3,3.333467268352059,0.534478442404402,18,0.07435,3.259117268352059
10,4,4.160223798977388,0.7905369406470165,18,0.04870999999999999,4.111513798977388
10,5,6.345848158430086,0.7164354005032787,17,-0.5431900000000001,6.889038158430086
11,1,4.269724173450196,1.370458698703971,16,0.09652,4.173204173450196
11,2,3.7167226483136315,1.0173749132547893,17,0.16899000000000003,3.5477326483136316
11,3,3.793813719606042,0.8192437329923917,17,0.07435,3.719463719606042
11,4,3.4250942833334195,0.9369744679792855,18,0.04870999999999999,3.3763842833334197
11,5,6.210487125007128,0.4940092793868069,18,-0.5431900000000001,6.753677125007128
12,1,3.3012529909092168,0.379664783560468,16,0.09652,3.204732990909217
12,2,4.412573544098111,1.1306421127146875,18,0.16899000000000003,4.243583544098111
12,3,3.3635548392045136,0.6316199393170056,18,0.07435,3.2892048392045137
12,4,3.735545555073755,1.1229172808303232,18,0.04870999999999999,3.6868355550737553
12,5,6.116489838545256,0.7790268483846007,18,-0.5431900000000001,6.659679838545256
13,1,3.4525001073263084,0.9923971550775567,15,0.09652,3.3559801073263085
13,2,4.369434829807231,1.3375503699826767,16,0.16899000000000003,4.200444829807231
13,3,3.617124598123614,0.5683552472387888,17,0.07435,3.5427745981236143
13,4,3.271455266858574,0.9363803006972043,18,0.04870999999999999,3.222745266858574
13,5,5.533655673111416,1.2064707685034053,18,-0.5431900000000001,6.076845673111416
14,1,3.3034222114888836,0.5821975115962922,16,0.09652,3.2069022114888837
14,2,4.239917815595785,1.0307232575894723,16,0.16899000000000003,4.070927815595785
14,3,3.923683090813194,1.450950790530252,18,0.07435,3.849333090813194
14,4,3.0357891726692494,0.8827189653801522,18,0.04870999999999999,2.9870791726692496
14,5,5.8487960309487494,1.0006877161602636,17,-0.5431900000000001,6.3919860309487495
15,1,3.970818660488825,1.2376483269576615,14,0.09652,3.874298660488825
15,2,4.340571483285588,1.2713663624715639,17,0.16899000000000003,4.171581483285588
15,3,3.779378483311586,0.8039220104557501,18,0.07435,3.7050284833115863
15,4,3.348387622917979,0.9543675606179518,18,0.04870999999999999,3.2996776229179794
15,5,6.159777188032807,0.8622898642482696,17,-0.5431900000000001,6.702967188032807
