user,position,user_seed_genre,cont_drift,cat_drift,total_drift,genre_name
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,2,3,2.302037876807015,0.5,2.802037876807015,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,3,1.6122222945345297,0.5,2.1122222945345297,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,4,3,2.8400796527415024,1.0,3.8400796527415024,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,5,3,2.824511447249374,1.0,3.824511447249374,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,6,3,4.064622633761262,0.5,4.564622633761262,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,7,3,3.1822341570057455,1.0,4.1822341570057455,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,8,3,2.0740443961405126,1.0,3.0740443961405126,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,9,3,2.621024685246594,1.0,3.621024685246594,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,10,3,3.2050416106780375,0.5,3.7050416106780375,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,11,3,2.7780016080725347,0.5,3.2780016080725347,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,12,3,3.4570282736997613,1.0,4.457028273699761,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,13,3,2.6030406864546425,0.5,3.1030406864546425,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,14,3,5.030813898581584,1.0,6.030813898581584,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,15,3,2.998324672798506,1.0,3.998324672798506,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,16,3,2.373727652376953,1.0,3.373727652376953,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,17,3,1.976060146562955,0.0,1.976060146562955,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,18,3,2.7102206408127465,0.0,2.7102206408127465,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,19,3,3.1527730190711507,1.0,4.152773019071151,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,20,3,2.0508194120267063,0.5,2.5508194120267063,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,21,3,3.2072035858885353,0.5,3.7072035858885353,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,22,3,2.0773865526607977,0.5,2.5773865526607977,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,23,3,2.1979886483486406,0.5,2.6979886483486406,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,24,3,3.0458168789785636,1.0,4.045816878978563,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,25,3,2.3958637337848065,0.5,2.8958637337848065,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,26,3,2.245182022132972,0.5,2.745182022132972,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,27,3,2.510524110183343,0.5,3.010524110183343,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,28,3,2.9509069008940645,0.5,3.4509069008940645,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,29,3,2.5201157473913023,1.0,3.5201157473913023,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,30,3,2.5435315536426573,1.0,3.5435315536426573,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,31,3,4.452714440280701,0.5,4.952714440280701,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,32,3,3.169248881813682,0.5,3.669248881813682,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,33,3,2.007370423582286,0.5,2.507370423582286,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,34,3,2.2470344410625094,0.5,2.7470344410625094,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,35,3,2.496436679987316,0.5,2.996436679987316,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,36,3,1.8361474825537019,0.0,1.8361474825537019,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,37,3,2.7368754027876068,1.0,3.7368754027876068,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,38,3,3.0124389062679335,0.5,3.5124389062679335,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,39,3,3.128885303085804,1.0,4.128885303085804,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,40,3,2.356795477514385,0.0,2.356795477514385,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,41,3,1.93653221660772,0.0,1.93653221660772,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,42,3,2.3329086657836435,1.0,3.3329086657836435,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,43,3,2.7960592216805074,0.0,2.7960592216805074,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,44,3,2.01217613129544,1.0,3.01217613129544,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,45,3,2.4180719314818235,1.0,3.4180719314818235,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,46,3,2.4133807002516674,0.5,2.9133807002516674,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,47,3,2.4346359825955552,1.0,3.4346359825955552,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,48,3,2.374028310602191,0.5,2.874028310602191,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,49,3,1.93653221660772,0.0,1.93653221660772,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,50,3,2.4472247723417464,0.5,2.9472247723417464,Electronic & Beat-Based
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,51,3,2.134783968818747,0.5,2.634783968818747,Electronic & Beat-Based
0f547591ab654965b1a2369a42034e4b_Ömercan1,2,5,3.2204380206148486,0.5,3.7204380206148486,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,3,5,3.243918967841621,1.0,4.243918967841621,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,4,5,4.038991478964077,1.0,5.038991478964077,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,5,5,3.688042175048456,0.5,4.188042175048456,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,6,5,2.6894087579444292,0.5,3.1894087579444292,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,7,5,2.962655148797883,1.0,3.962655148797883,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,8,5,3.8028548377544307,1.0,4.802854837754431,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,9,5,2.863864215423462,1.0,3.863864215423462,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,10,5,2.520189843971777,0.5,3.020189843971777,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,11,5,3.62660448765039,0.5,4.12660448765039,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,12,5,3.8695643565452684,0.0,3.8695643565452684,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,13,5,2.498329209393767,1.0,3.498329209393767,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,14,5,3.2706444037801825,0.5,3.7706444037801825,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,15,5,5.122255766087717,0.5,5.622255766087717,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,16,5,3.9364327569022053,1.0,4.936432756902205,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,17,5,3.6242077708994445,1.0,4.624207770899444,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,18,5,2.818962347349495,0.0,2.818962347349495,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,19,5,2.6664904060813566,0.5,3.1664904060813566,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,20,5,3.8998846080991014,1.0,4.899884608099102,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,21,5,2.9384026261176897,1.0,3.9384026261176897,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,22,5,2.9269685919911503,1.0,3.9269685919911503,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,23,5,2.6450483403401597,1.0,3.6450483403401597,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,24,5,2.834263093102652,0.5,3.334263093102652,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,25,5,3.0899640571781366,1.0,4.089964057178136,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,26,5,3.345775416416463,0.5,3.845775416416463,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,27,5,2.860425443179638,1.0,3.860425443179638,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,28,5,2.844899873129315,1.0,3.844899873129315,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,29,5,4.30645042182041,1.0,5.30645042182041,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,30,5,3.9583765421048853,0.0,3.9583765421048853,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,31,5,2.0871432155932688,1.0,3.0871432155932688,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,32,5,1.9436945801749939,0.5,2.443694580174994,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,33,5,2.618744947918344,0.5,3.118744947918344,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,34,5,3.5164390335587745,1.0,4.5164390335587745,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,35,5,2.0324138493119888,0.5,2.5324138493119888,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,36,5,3.2981533166613892,0.5,3.7981533166613892,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,37,5,5.294507292275396,1.0,6.294507292275396,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,38,5,3.1177714592036208,1.0,4.11777145920362,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,39,5,2.986749726399269,0.5,3.486749726399269,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,40,5,3.795592971705562,1.0,4.795592971705561,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,41,5,3.126594481439593,0.5,3.626594481439593,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,42,5,1.8968394036969858,0.5,2.396839403696986,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,43,5,3.57357414302128,1.0,4.57357414302128,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,44,5,2.4066923387069576,1.0,3.4066923387069576,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,45,5,3.32333152875392,0.5,3.82333152875392,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,46,5,4.108364726678588,0.5,4.608364726678588,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,47,5,2.418472880053553,0.5,2.918472880053553,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,48,5,2.181707267018117,1.0,3.181707267018117,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,49,5,2.4187473509748347,0.5,2.9187473509748347,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,50,5,2.5024232192779263,0.5,3.0024232192779263,"Roots, Jazz & Classical"
0f547591ab654965b1a2369a42034e4b_Ömercan1,51,5,3.5162620506383653,1.0,4.516262050638366,"Roots, Jazz & Classical"
19befa2d20a544b3819a1236cf7536c4_Harsh1,2,3,2.0740443961405126,1.0,3.0740443961405126,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,3,3,4.064622633761262,0.5,4.564622633761262,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,4,3,4.705910656279831,0.0,4.705910656279831,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,5,3,2.373727652376953,1.0,3.373727652376953,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,6,3,2.824511447249374,1.0,3.824511447249374,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,7,3,3.271609788613581,0.5,3.771609788613581,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,8,3,2.0892134779438987,0.5,2.5892134779438987,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,9,3,4.061602553760737,0.0,4.061602553760737,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,10,3,2.8115767130617706,0.0,2.8115767130617706,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,11,3,3.1527730190711507,1.0,4.152773019071151,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,12,3,2.7780016080725347,0.5,3.2780016080725347,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,13,3,2.7368754027876068,1.0,3.7368754027876068,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,14,3,2.302037876807015,0.5,2.802037876807015,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,15,3,3.081573854246671,1.0,4.08157385424667,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,16,3,3.81525255003225,1.0,4.81525255003225,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,17,3,2.510020877414107,0.5,3.010020877414107,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,18,3,1.8927789867490015,0.0,1.8927789867490015,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,19,3,2.469736838316398,0.0,2.469736838316398,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,20,3,5.030813898581584,1.0,6.030813898581584,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,21,3,2.257138841821075,1.0,3.257138841821075,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,22,3,3.3753503660505286,0.0,3.3753503660505286,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,23,3,2.510524110183343,0.5,3.010524110183343,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,24,3,2.8027749664599346,1.0,3.8027749664599346,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,25,3,2.4217240916598093,0.5,2.9217240916598093,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,26,3,3.0124389062679335,0.5,3.5124389062679335,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,27,3,2.7764890650464458,0.5,3.2764890650464458,Electronic & Beat-Based
19befa2d20a544b3819a1236cf7536c4_Harsh1,28,3,3.894692254118766,1.0,4.894692254118766,Electronic & Beat-Based
